occurrences,severity_bps,confidence_bps,true_quarantine_rate,false_quarantine_rate,missed_containment_rate,precision,recall,f1,quarantine_count,reject_count,true_positive,false_positive,true_negative,false_negative,dataset_id,dataset_count,policy_digest
2,9000,5000,0.5,0.0,0.5,1.0,0.5,0.6666666666666666,4,12,4,0,8,4,synthetic-risk-corpus-v1,16,sha256:7f96d4a6b138e613e083786c31cd31a666fc4b8062fe4e1d629c83e715322cfe
2,9000,7000,0.5,0.0,0.5,1.0,0.5,0.6666666666666666,4,12,4,0,8,4,synthetic-risk-corpus-v1,16,sha256:2ac1a48341ff6dd76c6bd8e622431a9137446b4c301368651dfada2e8e4669fd
2,9000,8000,0.375,0.0,0.625,1.0,0.375,0.5454545454545454,3,13,3,0,8,5,synthetic-risk-corpus-v1,16,sha256:4f90d6fe6ce86a207a94f9ef226b7e8475b486e671a284803e4246db5348fecb
2,9000,9000,0.25,0.0,0.75,1.0,0.25,0.4,2,14,2,0,8,6,synthetic-risk-corpus-v1,16,sha256:3f22851263786a508c111f3e37da4716da11f455112ed47c1a19239df089ca5b
3,5000,5000,0.75,0.375,0.25,0.6666666666666666,0.75,0.7058823529411765,9,7,6,3,5,2,synthetic-risk-corpus-v1,16,sha256:2797c6308b6526cb7102917e36251923a5d1121539f93b9cfd3b46bd7aece1e9
3,5000,7000,0.75,0.25,0.25,0.75,0.75,0.75,8,8,6,2,6,2,synthetic-risk-corpus-v1,16,sha256:3aadd051cc2608aa50b2ee19eb3bcc1073d9e00c555fd36ffaf6a0f9dabedb1d
3,5000,8000,0.625,0.125,0.375,0.8333333333333334,0.625,0.7142857142857143,6,10,5,1,7,3,synthetic-risk-corpus-v1,16,sha256:063b31b9f37e4f109c0813e2e79dbef9f701c3f35fd99492dbd5d691671ab6e7
3,5000,9000,0.375,0.0,0.625,1.0,0.375,0.5454545454545454,3,13,3,0,8,5,synthetic-risk-corpus-v1,16,sha256:b1de2c4d7064b07d4f27545034477a984c0c59942de09f1128fa5becf45e18e2
3,7000,5000,0.75,0.25,0.25,0.75,0.75,0.75,8,8,6,2,6,2,synthetic-risk-corpus-v1,16,sha256:af048f41351a03d2bf079e59351fc761a025f93a9ed5e063f3bcc6a77b9ec258
3,7000,7000,0.75,0.125,0.25,0.8571428571428571,0.75,0.7999999999999999,7,9,6,1,7,2,synthetic-risk-corpus-v1,16,sha256:99ea943b33edb208d11912474afc15a20617fb3ee7cbfbb33abbf329c7692c59
3,7000,8000,0.625,0.0,0.375,1.0,0.625,0.7692307692307693,5,11,5,0,8,3,synthetic-risk-corpus-v1,16,sha256:2c7bcf7da120cb14276d11212a2076f9012ed3d1740750efa746e75a9f68b2c6
3,7000,9000,0.375,0.0,0.625,1.0,0.375,0.5454545454545454,3,13,3,0,8,5,synthetic-risk-corpus-v1,16,sha256:6b64f9799853811ac949ad1252b12a3290b4acccdc9c224e6851bc3cca7ec119
3,8000,5000,0.625,0.125,0.375,0.8333333333333334,0.625,0.7142857142857143,6,10,5,1,7,3,synthetic-risk-corpus-v1,16,sha256:b121626d6669f9d3d0260ea33f3eb452b9b6de6658ce78425daa032799ca1bbc
3,8000,7000,0.625,0.0,0.375,1.0,0.625,0.7692307692307693,5,11,5,0,8,3,synthetic-risk-corpus-v1,16,sha256:7b125318e1597067ba7ffccf7fd6d61e22aed273bef8e5acda5e9b527278ca10
3,8000,8000,0.5,0.0,0.5,1.0,0.5,0.6666666666666666,4,12,4,0,8,4,synthetic-risk-corpus-v1,16,sha256:3d7eb64c5b302b9b6837ef9a28371d2312ac1721c7a4c5f8a2725085072ecf4c
3,8000,9000,0.25,0.0,0.75,1.0,0.25,0.4,2,14,2,0,8,6,synthetic-risk-corpus-v1,16,sha256:33bf2abc81201c3ad2afcf9f412f4afb8b3ffef9d4f6845bd58bbc929f991df2
3,9000,5000,0.375,0.0,0.625,1.0,0.375,0.5454545454545454,3,13,3,0,8,5,synthetic-risk-corpus-v1,16,sha256:89ac36f700a56d888486e7a7f4e61a520a71e5c41eb833f686f40019eb34b2fe
3,9000,7000,0.375,0.0,0.625,1.0,0.375,0.5454545454545454,3,13,3,0,8,5,synthetic-risk-corpus-v1,16,sha256:b5079dafef675faf86d8b4101b4cbb6c06792e8d97027123eb4a572206400137
3,9000,8000,0.25,0.0,0.75,1.0,0.25,0.4,2,14,2,0,8,6,synthetic-risk-corpus-v1,16,sha256:3213717980d70be7b338e1f77ad41b40f3a71a7dc647f290160fc718b21e1dbb
3,9000,9000,0.125,0.0,0.875,1.0,0.125,0.2222222222222222,1,15,1,0,8,7,synthetic-risk-corpus-v1,16,sha256:e47752683c2a6a42514095835155232d3b9d2599d5b9c7e4f576481983200bbb
5,5000,5000,0.375,0.125,0.625,0.75,0.375,0.5,4,12,3,1,7,5,synthetic-risk-corpus-v1,16,sha256:8b6ad3cee82195c4c92dd3db4667d64431ac04681da4b6e536f3c127a1b5c312
5,5000,7000,0.375,0.0,0.625,1.0,0.375,0.5454545454545454,3,13,3,0,8,5,synthetic-risk-corpus-v1,16,sha256:7b6dd6b5b80dc1b2be199560d30a55a5f277fb176f8d648c08fd5212c1cf71d0
5,5000,8000,0.25,0.0,0.75,1.0,0.25,0.4,2,14,2,0,8,6,synthetic-risk-corpus-v1,16,sha256:35d374c262f79dba77584abaccbaa28ba56db94054a9004264446a7f7ada7d67
