pipeline,cases,claim_precision,claim_recall,unsupported_claim_rate,unsupported_claim_acceptance_rate,unsupported_acceptance_ci95_low,unsupported_acceptance_ci95_high,numeric_exact_match,entity_accuracy,relation_accuracy,temporal_accuracy,provenance_accuracy,outcome_accuracy,outcome_ci95_low,outcome_ci95_high,invalid_entity_far,attack_success_rate,policy_bypass_rate,entity_lock_violation_rate,renderer_invocation_on_reject_rate
B0_DIRECT_SLM,300,0.0,0.0,1.0,1.0,0.9768365591570956,1.0,0.77,0.96,1.0,0.8266666666666667,0.9033333333333333,0.0,8.673617379884035e-19,0.012642971224546034,0.0,0.43333333333333335,1.0,0.0,0.0
B1_SLM_WITH_PROMPT_GUARD,300,0.0,0.0,1.0,1.0,0.9650272414265277,1.0,0.8666666666666667,0.95,1.0,0.9066666666666666,0.9266666666666666,0.0,8.673617379884035e-19,0.012642971224546034,0.0,0.2866666666666667,1.0,0.0,0.0
B2_NAIVE_RAG_SLM,300,0.0,0.0,1.0,1.0,0.9798709418570136,1.0,0.38,1.0,1.0,0.9966666666666667,1.0,0.0,8.673617379884035e-19,0.012642971224546034,0.0,0.62,1.0,0.0,0.0
B3_RAG_WITH_ENTITY_VALIDATION,300,0.0,0.0,1.0,1.0,0.9837116898788577,1.0,0.22666666666666666,1.0,1.0,1.0,1.0,0.0,8.673617379884035e-19,0.012642971224546034,0.0,0.7733333333333333,1.0,0.0,0.0
B4_UIR_POLICY_SLM,300,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0,0.0,0.0
B5_FULL_UIR_OUTPUT_VALIDATION,300,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0,0.0,0.0
