adapter_id,count,mean,median,stddev,p50,p95,p99,ci95_low,ci95_high,minimum,maximum
simulated,30000,18894.836933333332,17796.0,8558.017851204057,17796.0,25316.0,38076.0,18797.99171681412,18991.682149852546,14244.0,1193767.0
sqlite,30000,42061.25396666666,38341.0,15132.60998895113,38341.0,60549.0,112621.0,41890.00860163455,42232.499331698775,30578.0,416343.0
