baseline_id,policy_count,count,mean,median,stddev,p50,p95,p99,ci95_low,ci95_high,minimum,maximum
B0,100,7500,2801800.533333333,2809856.0,71134.41603332016,2809856.0,2920448.0,2928640.0,2800190.379641934,2803410.6870247326,2633728.0,2928640.0
B0,1000,7500,2801800.533333333,2809856.0,71134.41603332016,2809856.0,2920448.0,2928640.0,2800190.379641934,2803410.6870247326,2633728.0,2928640.0
B0,10000,7500,2801800.533333333,2809856.0,71134.41603332016,2809856.0,2920448.0,2928640.0,2800190.379641934,2803410.6870247326,2633728.0,2928640.0
B0,100000,7500,2801800.533333333,2809856.0,71134.41603332016,2809856.0,2920448.0,2928640.0,2800190.379641934,2803410.6870247326,2633728.0,2928640.0
B1,100,7500,2801800.533333333,2809856.0,71134.41603332016,2809856.0,2920448.0,2928640.0,2800190.379641934,2803410.6870247326,2633728.0,2928640.0
B1,1000,7500,2801800.533333333,2809856.0,71134.41603332016,2809856.0,2920448.0,2928640.0,2800190.379641934,2803410.6870247326,2633728.0,2928640.0
B1,10000,7500,2801800.533333333,2809856.0,71134.41603332016,2809856.0,2920448.0,2928640.0,2800190.379641934,2803410.6870247326,2633728.0,2928640.0
B1,100000,7500,2801800.533333333,2809856.0,71134.41603332016,2809856.0,2920448.0,2928640.0,2800190.379641934,2803410.6870247326,2633728.0,2928640.0
B2,100,7500,2801800.533333333,2809856.0,71134.41603332016,2809856.0,2920448.0,2928640.0,2800190.379641934,2803410.6870247326,2633728.0,2928640.0
B2,1000,7500,2801800.533333333,2809856.0,71134.41603332016,2809856.0,2920448.0,2928640.0,2800190.379641934,2803410.6870247326,2633728.0,2928640.0
B2,10000,7500,2801800.533333333,2809856.0,71134.41603332016,2809856.0,2920448.0,2928640.0,2800190.379641934,2803410.6870247326,2633728.0,2928640.0
B2,100000,7500,2801800.533333333,2809856.0,71134.41603332016,2809856.0,2920448.0,2928640.0,2800190.379641934,2803410.6870247326,2633728.0,2928640.0
B3,100,7500,2801800.533333333,2809856.0,71134.41603332016,2809856.0,2920448.0,2928640.0,2800190.379641934,2803410.6870247326,2633728.0,2928640.0
B3,1000,7500,2801800.533333333,2809856.0,71134.41603332016,2809856.0,2920448.0,2928640.0,2800190.379641934,2803410.6870247326,2633728.0,2928640.0
B3,10000,7500,2801800.533333333,2809856.0,71134.41603332016,2809856.0,2920448.0,2928640.0,2800190.379641934,2803410.6870247326,2633728.0,2928640.0
B3,100000,7500,2801800.533333333,2809856.0,71134.41603332016,2809856.0,2920448.0,2928640.0,2800190.379641934,2803410.6870247326,2633728.0,2928640.0
B4,100,7500,2801800.533333333,2809856.0,71134.41603332016,2809856.0,2920448.0,2928640.0,2800190.379641934,2803410.6870247326,2633728.0,2928640.0
B4,1000,7500,2801800.533333333,2809856.0,71134.41603332016,2809856.0,2920448.0,2928640.0,2800190.379641934,2803410.6870247326,2633728.0,2928640.0
B4,10000,7500,2801800.533333333,2809856.0,71134.41603332016,2809856.0,2920448.0,2928640.0,2800190.379641934,2803410.6870247326,2633728.0,2928640.0
B4,100000,7500,2801800.533333333,2809856.0,71134.41603332016,2809856.0,2920448.0,2928640.0,2800190.379641934,2803410.6870247326,2633728.0,2928640.0
B5,100,7500,2801800.533333333,2809856.0,71134.41603332016,2809856.0,2920448.0,2928640.0,2800190.379641934,2803410.6870247326,2633728.0,2928640.0
B5,1000,7500,2801800.533333333,2809856.0,71134.41603332016,2809856.0,2920448.0,2928640.0,2800190.379641934,2803410.6870247326,2633728.0,2928640.0
B5,10000,7500,2801800.533333333,2809856.0,71134.41603332016,2809856.0,2920448.0,2928640.0,2800190.379641934,2803410.6870247326,2633728.0,2928640.0
B5,100000,7500,2801800.533333333,2809856.0,71134.41603332016,2809856.0,2920448.0,2928640.0,2800190.379641934,2803410.6870247326,2633728.0,2928640.0
B6,100,7500,2801800.533333333,2809856.0,71134.41603332016,2809856.0,2920448.0,2928640.0,2800190.379641934,2803410.6870247326,2633728.0,2928640.0
B6,1000,7500,2801800.533333333,2809856.0,71134.41603332016,2809856.0,2920448.0,2928640.0,2800190.379641934,2803410.6870247326,2633728.0,2928640.0
B6,10000,7500,2801800.533333333,2809856.0,71134.41603332016,2809856.0,2920448.0,2928640.0,2800190.379641934,2803410.6870247326,2633728.0,2928640.0
B6,100000,7500,2801800.533333333,2809856.0,71134.41603332016,2809856.0,2920448.0,2928640.0,2800190.379641934,2803410.6870247326,2633728.0,2928640.0
