control,treatment,absolute_overhead_ns,relative_overhead,cohen_d,difference_ci95_low,difference_ci95_high,mann_whitney_u,p_value,sample_unit,n_control,n_treatment
B0,B1,111746.56959999999,1.188612587412278,14.83802782432631,107854.19014183134,115638.94905816864,0.0,3.019859359162157e-11,independent_run_mean,30,30
B0,B2,88347.13953333333,0.9397203197116208,10.661487737098504,84064.2996928252,92629.97937384147,0.0,3.019859359162157e-11,independent_run_mean,30,30
B0,B3,111449.35243333332,1.1854511832925847,14.178028839888762,107386.6141453073,115512.09072135933,0.0,3.019859359162157e-11,independent_run_mean,30,30
B0,B4,110185.28183333334,1.1720056678560398,13.695944397630347,106027.24094495364,114343.32272171305,0.0,3.019859359162157e-11,independent_run_mean,30,30
B0,B5,109879.61413333332,1.168754378110986,13.642956113935412,105717.00343038856,114042.22483627808,0.0,3.019859359162157e-11,independent_run_mean,30,30
B0,B6,110910.32940000002,1.1797177673620691,13.868599966679348,106777.03321829054,115043.6255817095,0.0,3.019859359162157e-11,independent_run_mean,30,30
