baseline_id,stage,count,mean,median,stddev,p50,p95,p99,ci95_low,ci95_high,minimum,maximum
B0,audit,30000,188.66366666666667,230.0,434.7603421408077,230.0,296.0,403.0,183.74378215594786,193.5835511773855,15.0,53780.0
B0,authorize,30000,29.8847,24.0,224.74889589966162,24.0,40.0,88.0,27.341370941298095,32.4280290587019,14.0,31326.0
B0,canonicalize,30000,10726.855933333334,9989.0,5032.785917572347,9989.0,14800.0,23822.0,10669.903348008502,10783.808518658167,7727.0,232428.0
B0,commit,30000,7040.9783,6592.0,3247.3723067724163,6592.0,9098.0,15759.0,7004.23001556827,7077.72658443173,5308.0,196857.0
B0,credential,30000,34249.17043333333,32467.0,9434.283561422655,32467.0,47011.0,64276.0,34142.4091189618,34355.93174770487,27069.0,731423.0
B0,digest,30000,688.8368,633.0,1135.4874301766752,633.0,803.0,1212.0,675.9872677902918,701.6863322097083,557.0,95560.0
B0,identity,30000,3271.5198666666665,3044.0,1718.8299249438105,3044.0,4174.0,5816.0,3252.0690476645227,3290.9706856688103,2604.0,105224.0
B0,parse,30000,7359.266733333333,6639.0,3588.2648514950524,6639.0,11626.0,20731.0,7318.66080185325,7399.872664813416,4963.0,177388.0
B0,prepare,30000,10856.718766666667,9974.0,4293.7158565516465,9974.0,15913.0,25577.0,10808.129730159666,10905.307803173668,7835.0,204214.0
B0,reconcile,30000,25.7845,24.0,12.903790528768424,24.0,40.0,55.0,25.63847665564564,25.930523344354363,13.0,1240.0
B0,risk,30000,27.153433333333332,24.0,22.1632443140779,24.0,46.0,71.0,26.902627103236124,27.40423956343054,12.0,2366.0
B0,total,30000,94014.29093333334,88221.5,22956.907062988423,88221.0,132699.0,190236.0,93754.50336642451,94274.07850024216,71423.0,826065.0
B0,validate,30000,16371.790166666668,14990.0,6058.008058500572,14990.0,25244.0,38833.0,16303.23584575951,16440.344487573824,11632.0,190733.0
B1,audit,30000,198.4381,238.0,381.13404869392843,238.0,324.0,434.0,194.12506746017948,202.7511325398205,16.0,36150.0
B1,authorize,30000,33.24783333333333,28.0,206.0473275617653,28.0,47.0,109.0,30.916137092700115,35.579529573966546,15.0,31756.0
B1,canonicalize,30000,11302.108766666666,10615.0,4097.7807967709905,10615.0,15308.0,22527.0,11255.736992803666,11348.480540529667,8120.0,252734.0
B1,commit,30000,7385.805033333333,6939.0,3185.65696181556,6939.0,9235.0,15671.0,7349.755139118686,7421.85492754798,5426.0,144802.0
B1,credential,30000,141843.91353333334,98572.5,109940.19570206685,98571.0,350382.0,412297.0,140599.79576657343,143088.03130009325,27208.0,1652972.0
B1,digest,30000,705.0722333333333,646.0,2241.972849008406,646.0,814.0,1292.0,679.7013647785466,730.44310188812,557.0,368689.0
B1,identity,30000,3378.186366666667,3145.5,2327.929126906887,3145.0,4277.0,5749.0,3351.842789887967,3404.529943445367,2617.0,181742.0
