baseline_id,count,mean,median,stddev,p50,p95,p99,ci95_low,ci95_high,minimum,maximum,failure_rate
B0,30,94014.29093333334,94586.9875,4735.077797527607,94462.102,100563.354,101827.705,92246.18382570951,95782.39804095717,85367.703,101827.705,0.0
B1,30,205760.86053333333,207031.8585,9540.113526656094,206046.557,219970.866,220089.311,202198.523597111,209323.19746955566,189751.649,220089.311,0.0
B2,30,182361.43046666667,180280.055,10719.76891329508,180183.411,201807.64,202315.878,178358.60296981357,186364.25796351978,167938.038,202315.878,0.0
B3,30,205463.64336666666,204826.413,10057.858413533397,204710.541,225445.532,228746.862,201707.9773124092,209219.3094209241,186416.332,228746.862,0.0
B4,30,204199.57276666668,203466.654,10345.356408680915,203406.752,221853.424,222579.001,200336.55319671548,208062.59233661788,185687.292,222579.001,0.0
B5,30,203893.90506666666,203533.1175,10359.106564953541,203428.167,221959.999,231670.585,200025.7511039819,207762.05902935143,189344.283,231670.585,0.0
B6,30,204924.62033333335,205398.0,10270.846524204384,205262.073,224164.156,226331.972,201089.42321149484,208759.81745517187,189446.137,226331.972,0.0
