scenario,concurrency,failure_rate,attempts,successful_commits,successful_commit_rate,stale_conflict_rate,retry_count,invariant_violation_count,partial_publication_count,deadlock_count,timeout_count,terminal_resurrection_count,duplicate_success_count,unaudited_terminal_count,throughput_ops_s,p50_ns,p95_ns,p99_ns,starvation_indicator,rollback_success_rate,seed
duplicate_execute,4,0.0,1000,500,0.5,0.5,500,0,0,0,0,0,0,0,89786.7000218205,1807,2169,7517,0,0.0,20261762
duplicate_execute,4,0.001,1000,500,0.5,0.498,498,0,0,0,0,0,0,0,93694.70255772537,1757,2127,7287,0,1.0,20261763
duplicate_execute,4,0.01,1000,500,0.5,0.49,490,0,0,0,0,0,0,0,76199.18466868886,1955,2682,8609,0,1.0,20261764
duplicate_execute,4,0.05,1000,496,0.496,0.448,448,0,0,0,0,0,0,0,79586.75373966963,1919,2336,5732,0,1.0,20261765
duplicate_execute,4,0.1,1000,491,0.491,0.401,401,0,0,0,0,0,0,0,73612.95705808386,944,2158,4577,0,1.0,20261766
duplicate_execute,16,0.0,1000,500,0.5,0.5,500,0,0,0,0,0,0,0,66496.28102920683,1718,2552,10796,0,0.0,20261882
duplicate_execute,16,0.001,1000,500,0.5,0.498,498,0,0,0,0,0,0,0,66064.76818110421,2058,3356,21498,0,1.0,20261883
duplicate_execute,16,0.01,1000,500,0.5,0.49,490,0,0,0,0,0,0,0,63240.08287991287,1885,2223,10246,0,1.0,20261884
duplicate_execute,16,0.05,1000,498,0.498,0.449,449,0,0,0,0,0,0,0,71605.08820030067,1782,2300,10589,0,1.0,20261885
duplicate_execute,16,0.1,1000,497,0.497,0.407,407,0,0,0,0,0,0,0,55259.71346969064,1944,6853,14241,0,1.0,20261886
duplicate_execute,64,0.0,1000,500,0.5,0.5,500,0,0,0,0,0,0,0,35524.01149638491,1857,8431,16591,0,0.0,20262362
duplicate_execute,64,0.001,1000,500,0.5,0.5,500,0,0,0,0,0,0,0,32358.41003327494,2106,7694,16054,0,0.0,20262363
duplicate_execute,64,0.01,1000,500,0.5,0.489,489,0,0,0,0,0,0,0,36767.167390165574,1809,8586,15184,0,1.0,20262364
duplicate_execute,64,0.05,1000,497,0.497,0.449,449,0,0,0,0,0,0,0,36327.92403278636,1798,7690,14964,0,1.0,20262365
duplicate_execute,64,0.1,1000,496,0.496,0.401,401,0,0,0,0,0,0,0,36794.036952333685,1760,7567,15429,0,1.0,20262366
duplicate_execute,128,0.0,1000,500,0.5,0.5,500,0,0,0,0,0,0,0,21814.71082006192,1852,10789,18675,0,0.0,20263002
duplicate_execute,128,0.001,1000,500,0.5,0.499,499,0,0,0,0,0,0,0,21319.366476270265,1791,9852,20035,0,1.0,20263003
duplicate_execute,128,0.01,1000,500,0.5,0.484,484,0,0,0,0,0,0,0,21905.50752651164,1849,11546,17883,0,1.0,20263004
duplicate_execute,128,0.05,1000,499,0.499,0.457,457,0,0,0,0,0,0,0,21495.402015274354,1912,10845,15841,0,1.0,20263005
duplicate_execute,128,0.1,1000,497,0.497,0.409,409,0,0,0,0,0,0,0,22224.000142232482,1815,11377,18818,0,1.0,20263006
duplicate_execute,256,0.0,1000,500,0.5,0.5,500,0,0,0,0,0,0,0,12493.429080977388,1960,13472,19196,0,0.0,20264282
duplicate_execute,256,0.001,1000,500,0.5,0.498,498,0,0,0,0,0,0,0,12878.091925240411,2078,13135,17967,0,1.0,20264283
duplicate_execute,256,0.01,1000,499,0.499,0.493,493,0,0,0,0,0,0,0,12807.63359552976,2045,13608,19833,0,1.0,20264284
duplicate_execute,256,0.05,1000,498,0.498,0.44,440,0,0,0,0,0,0,0,11945.39544724389,2245,14508,20846,0,1.0,20264285
duplicate_execute,256,0.1,1000,496,0.496,0.403,403,0,0,0,0,0,0,0,11932.329990639208,2048,15785,23292,0,1.0,20264286
transfer_freeze_race,1,0.0,1000,1000,1.0,0.0,0,0,0,0,0,0,0,0,86641.0203469373,1932,2248,6471,0,0.0,20262732
transfer_freeze_race,1,0.001,1000,998,0.998,0.0,0,0,0,0,0,0,0,0,86831.6050369393,1905,2131,3651,0,1.0,20262733
transfer_freeze_race,1,0.01,1000,992,0.992,0.0,0,0,0,0,0,0,0,0,86984.94690683842,2176,2568,7687,0,1.0,20262734
transfer_freeze_race,1,0.05,1000,961,0.961,0.0,0,0,0,0,0,0,0,0,75369.36642231778,2047,5843,11401,0,1.0,20262735
transfer_freeze_race,1,0.1,1000,917,0.917,0.0,0,0,0,0,0,0,0,0,89350.8606365248,2028,2299,4895,0,1.0,20262736
transfer_freeze_race,4,0.0,1000,1000,1.0,0.0,0,0,0,0,0,0,0,0,61777.21049824284,2017,5765,8633,0,0.0,20262762
transfer_freeze_race,4,0.001,1000,998,0.998,0.0,0,0,0,0,0,0,0,0,83209.23369523343,1981,2176,6441,0,1.0,20262763
transfer_freeze_race,4,0.01,1000,991,0.991,0.0,0,0,0,0,0,0,0,0,83097.60619899948,1937,2198,6411,0,1.0,20262764
transfer_freeze_race,4,0.05,1000,947,0.947,0.0,0,0,0,0,0,0,0,0,69673.15140246198,1969,3726,9285,0,1.0,20262765
transfer_freeze_race,4,0.1,1000,918,0.918,0.0,0,0,0,0,0,0,0,0,52168.860375888784,2324,7314,19934,0,1.0,20262766
transfer_freeze_race,16,0.0,1000,1000,1.0,0.0,0,0,0,0,0,0,0,0,51891.3892465994,2129,3925,17188,0,0.0,20262882
transfer_freeze_race,16,0.001,1000,995,0.995,0.0,0,0,0,0,0,0,0,0,55658.83671146242,1990,3294,15804,0,1.0,20262883
transfer_freeze_race,16,0.01,1000,994,0.994,0.0,0,0,0,0,0,0,0,0,58713.63130892751,1994,4864,15291,0,1.0,20262884
transfer_freeze_race,16,0.05,1000,960,0.96,0.0,0,0,0,0,0,0,0,0,29218.436623127338,1970,10928,18579,0,1.0,20262885
transfer_freeze_race,16,0.1,1000,887,0.887,0.0,0,0,0,0,0,0,0,0,66136.31952057965,1957,3149,13462,0,1.0,20262886
transfer_freeze_race,64,0.0,1000,1000,1.0,0.0,0,0,0,0,0,0,0,0,33286.073765854555,1892,8822,16982,0,0.0,20263362
transfer_freeze_race,64,0.001,1000,999,0.999,0.0,0,0,0,0,0,0,0,0,34604.63974167057,1975,8771,16495,0,1.0,20263363
transfer_freeze_race,64,0.01,1000,994,0.994,0.0,0,0,0,0,0,0,0,0,36680.98423298191,1918,8276,16762,0,1.0,20263364
transfer_freeze_race,64,0.05,1000,945,0.945,0.0,0,0,0,0,0,0,0,0,35889.50339696905,1850,8774,16472,0,1.0,20263365
transfer_freeze_race,64,0.1,1000,907,0.907,0.0,0,0,0,0,0,0,0,0,32807.80264032453,1894,10025,16126,0,1.0,20263366
transfer_freeze_race,128,0.0,1000,1000,1.0,0.0,0,0,0,0,0,0,0,0,20820.583762123326,2144,13065,18767,0,0.0,20264002
transfer_freeze_race,128,0.001,1000,999,0.999,0.0,0,0,0,0,0,0,0,0,22569.59639739384,1866,13923,18275,0,1.0,20264003
transfer_freeze_race,128,0.01,1000,997,0.997,0.0,0,0,0,0,0,0,0,0,21696.225676845606,1959,13975,18967,0,1.0,20264004
transfer_freeze_race,128,0.05,1000,947,0.947,0.0,0,0,0,0,0,0,0,0,22827.516132718913,1827,12360,17242,0,1.0,20264005
transfer_freeze_race,128,0.1,1000,898,0.898,0.0,0,0,0,0,0,0,0,0,22332.72254825486,1958,12068,17060,0,1.0,20264006
transfer_freeze_race,256,0.0,1000,1000,1.0,0.0,0,0,0,0,0,0,0,0,10985.396431424992,2824,15924,26691,0,0.0,20265282
transfer_freeze_race,256,0.001,1000,998,0.998,0.0,0,0,0,0,0,0,0,0,12472.683575698647,2793,15399,22119,0,1.0,20265283
transfer_freeze_race,256,0.01,1000,995,0.995,0.0,0,0,0,0,0,0,0,0,13008.10757621929,2578,14986,21145,0,1.0,20265284
transfer_freeze_race,256,0.05,1000,951,0.951,0.0,0,0,0,0,0,0,0,0,13516.50193902914,2619,13933,17617,0,1.0,20265285
transfer_freeze_race,256,0.1,1000,888,0.888,0.0,0,0,0,0,0,0,0,0,12436.808730305213,2642,15442,19458,0,1.0,20265286
expiry_execute_boundary,1,0.0,1000,500,0.5,0.0,0,0,0,0,0,0,0,0,98223.46171524907,1656,1895,5530,0,0.0,20263732
expiry_execute_boundary,1,0.001,1000,499,0.499,0.0,0,0,0,0,0,0,0,0,78439.09341658255,1637,2037,5563,0,1.0,20263733
expiry_execute_boundary,1,0.01,1000,495,0.495,0.0,0,0,0,0,0,0,0,0,107697.37941039492,1597,1912,4291,0,1.0,20263734
expiry_execute_boundary,1,0.05,1000,468,0.468,0.0,0,0,0,0,0,0,0,0,103219.56266715346,1454,1952,2890,0,1.0,20263735
expiry_execute_boundary,1,0.1,1000,452,0.452,0.0,0,0,0,0,0,0,0,0,105864.70342697085,1373,1859,2453,0,1.0,20263736
expiry_execute_boundary,4,0.0,1000,500,0.5,0.0,0,0,0,0,0,0,0,0,93379.95856905314,1719,2266,5078,0,0.0,20263762
expiry_execute_boundary,4,0.001,1000,500,0.5,0.0,0,0,0,0,0,0,0,0,92444.58709651323,1697,1984,5575,0,1.0,20263763
expiry_execute_boundary,4,0.01,1000,497,0.497,0.0,0,0,0,0,0,0,0,0,87416.41570181752,1824,2113,5496,0,1.0,20263764
expiry_execute_boundary,4,0.05,1000,480,0.48,0.0,0,0,0,0,0,0,0,0,91431.21300693596,1685,2097,5801,0,1.0,20263765
expiry_execute_boundary,4,0.1,1000,453,0.453,0.0,0,0,0,0,0,0,0,0,81969.7528335357,1548,2124,5392,0,1.0,20263766
expiry_execute_boundary,16,0.0,1000,500,0.5,0.0,0,0,0,0,0,0,0,0,76402.31871883354,1636,2117,12543,0,0.0,20263882
expiry_execute_boundary,16,0.001,1000,500,0.5,0.0,0,0,0,0,0,0,0,0,70105.81491302827,1687,2422,10722,0,1.0,20263883
expiry_execute_boundary,16,0.01,1000,498,0.498,0.0,0,0,0,0,0,0,0,0,71331.78947556058,1857,2406,12423,0,1.0,20263884
expiry_execute_boundary,16,0.05,1000,473,0.473,0.0,0,0,0,0,0,0,0,0,69363.64543143845,1737,2615,12318,0,1.0,20263885
expiry_execute_boundary,16,0.1,1000,460,0.46,0.0,0,0,0,0,0,0,0,0,78253.2558638271,1496,2204,6789,0,1.0,20263886
expiry_execute_boundary,64,0.0,1000,500,0.5,0.0,0,0,0,0,0,0,0,0,38860.451458196236,1708,8122,14173,0,0.0,20264362
expiry_execute_boundary,64,0.001,1000,500,0.5,0.0,0,0,0,0,0,0,0,0,35820.38954604253,1681,8100,16940,0,1.0,20264363
expiry_execute_boundary,64,0.01,1000,499,0.499,0.0,0,0,0,0,0,0,0,0,38742.87731579549,1665,8830,16469,0,1.0,20264364
expiry_execute_boundary,64,0.05,1000,478,0.478,0.0,0,0,0,0,0,0,0,0,38982.476285405195,1625,8648,14864,0,1.0,20264365
expiry_execute_boundary,64,0.1,1000,450,0.45,0.0,0,0,0,0,0,0,0,0,38417.4337699816,1706,10049,15850,0,1.0,20264366
expiry_execute_boundary,128,0.0,1000,500,0.5,0.0,0,0,0,0,0,0,0,0,23472.49455534125,1756,12422,19097,0,0.0,20265002
expiry_execute_boundary,128,0.001,1000,499,0.499,0.0,0,0,0,0,0,0,0,0,22285.029358533255,1817,13480,21217,0,1.0,20265003
expiry_execute_boundary,128,0.01,1000,495,0.495,0.0,0,0,0,0,0,0,0,0,23233.296026839354,1696,11639,17185,0,1.0,20265004
expiry_execute_boundary,128,0.05,1000,478,0.478,0.0,0,0,0,0,0,0,0,0,24448.69596402613,1704,9816,15927,0,1.0,20265005
expiry_execute_boundary,128,0.1,1000,455,0.455,0.0,0,0,0,0,0,0,0,0,24660.25261715926,1667,10441,17463,0,1.0,20265006
expiry_execute_boundary,256,0.0,1000,500,0.5,0.0,0,0,0,0,0,0,0,0,13551.95399729068,2415,13575,17517,0,0.0,20266282
expiry_execute_boundary,256,0.001,1000,499,0.499,0.0,0,0,0,0,0,0,0,0,13223.070730511374,2485,13985,21610,0,1.0,20266283
expiry_execute_boundary,256,0.01,1000,497,0.497,0.0,0,0,0,0,0,0,0,0,12817.16638981948,2508,13797,22065,0,1.0,20266284
expiry_execute_boundary,256,0.05,1000,468,0.468,0.0,0,0,0,0,0,0,0,0,12619.66120500863,2465,14419,20621,0,1.0,20266285
expiry_execute_boundary,256,0.1,1000,449,0.449,0.0,0,0,0,0,0,0,0,0,13104.093123764078,2435,13703,18182,0,1.0,20266286
revocation_commit_race,1,0.0,1000,666,0.666,0.0,0,0,0,0,0,0,0,0,98999.44233620315,1754,2086,4907,0,0.0,20264732
revocation_commit_race,1,0.001,1000,665,0.665,0.0,0,0,0,0,0,0,0,0,102404.28885540919,1782,2050,3066,0,1.0,20264733
revocation_commit_race,1,0.01,1000,663,0.663,0.0,0,0,0,0,0,0,0,0,100908.65213958778,1803,2335,5632,0,1.0,20264734
revocation_commit_race,1,0.05,1000,634,0.634,0.0,0,0,0,0,0,0,0,0,102805.13051075938,1743,1949,4099,0,1.0,20264735
revocation_commit_race,1,0.1,1000,602,0.602,0.0,0,0,0,0,0,0,0,0,99212.44171616017,1877,2188,5991,0,1.0,20264736
revocation_commit_race,4,0.0,1000,666,0.666,0.0,0,0,0,0,0,0,0,0,81563.27434121432,1711,2399,7369,0,0.0,20264762
revocation_commit_race,4,0.001,1000,666,0.666,0.0,0,0,0,0,0,0,0,0,92648.49909906478,1765,2184,9111,0,0.0,20264763
revocation_commit_race,4,0.01,1000,657,0.657,0.0,0,0,0,0,0,0,0,0,87831.4837044714,1799,3114,8323,0,1.0,20264764
revocation_commit_race,4,0.05,1000,626,0.626,0.0,0,0,0,0,0,0,0,0,87072.40375141457,1888,2151,6446,0,1.0,20264765
revocation_commit_race,4,0.1,1000,601,0.601,0.0,0,0,0,0,0,0,0,0,87992.5459750862,1778,2091,6065,0,1.0,20264766
revocation_commit_race,16,0.0,1000,666,0.666,0.0,0,0,0,0,0,0,0,0,69459.00189362103,1778,2652,12099,0,0.0,20264882
revocation_commit_race,16,0.001,1000,666,0.666,0.0,0,0,0,0,0,0,0,0,74859.40468028981,1781,2334,10172,0,0.0,20264883
revocation_commit_race,16,0.01,1000,661,0.661,0.0,0,0,0,0,0,0,0,0,61772.325862141006,1795,3252,12604,0,1.0,20264884
revocation_commit_race,16,0.05,1000,631,0.631,0.0,0,0,0,0,0,0,0,0,70792.4206237378,1887,2393,9105,0,1.0,20264885
