split,language,error_type,count
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,en,TEMPORAL_SCOPE_FAILURE,0
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,en,CONDITION_ORDER_FAILURE,0
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,en,NEGATION_FAILURE,0
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,en,EXCEPTION_SCOPE_FAILURE,0
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,en,COORDINATION_FAILURE,29
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,en,CODE_SWITCH_FAILURE,0
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,en,MORPHOLOGY_FAILURE_KO,0
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,en,PREPOSITION_FAILURE_EN,0
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,en,UNSUPPORTED_SURFACE_FORM,0
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,en,AMBIGUOUS_INPUT,0
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,en,SECURITY_REJECT_EXPECTED,10
G4_LEXICAL_UNSEEN,ko,INTENT_UNSEEN,0
G4_LEXICAL_UNSEEN,ko,ACTION_SYNONYM_UNSEEN,49
G4_LEXICAL_UNSEEN,ko,TARGET_EXTRACTION_FAILURE,0
G4_LEXICAL_UNSEEN,ko,ENTITY_ALIAS_FAILURE,0
G4_LEXICAL_UNSEEN,ko,ATTRIBUTE_SYNONYM_FAILURE,0
G4_LEXICAL_UNSEEN,ko,TEMPORAL_SCOPE_FAILURE,0
G4_LEXICAL_UNSEEN,ko,CONDITION_ORDER_FAILURE,0
G4_LEXICAL_UNSEEN,ko,NEGATION_FAILURE,0
G4_LEXICAL_UNSEEN,ko,EXCEPTION_SCOPE_FAILURE,0
G4_LEXICAL_UNSEEN,ko,COORDINATION_FAILURE,10
G4_LEXICAL_UNSEEN,ko,CODE_SWITCH_FAILURE,0
G4_LEXICAL_UNSEEN,ko,MORPHOLOGY_FAILURE_KO,26
G4_LEXICAL_UNSEEN,ko,PREPOSITION_FAILURE_EN,0
G4_LEXICAL_UNSEEN,ko,UNSUPPORTED_SURFACE_FORM,0
G4_LEXICAL_UNSEEN,ko,AMBIGUOUS_INPUT,0
G4_LEXICAL_UNSEEN,ko,SECURITY_REJECT_EXPECTED,10
G4_LEXICAL_UNSEEN,en,INTENT_UNSEEN,0
G4_LEXICAL_UNSEEN,en,ACTION_SYNONYM_UNSEEN,59
G4_LEXICAL_UNSEEN,en,TARGET_EXTRACTION_FAILURE,0
G4_LEXICAL_UNSEEN,en,ENTITY_ALIAS_FAILURE,0
G4_LEXICAL_UNSEEN,en,ATTRIBUTE_SYNONYM_FAILURE,0
G4_LEXICAL_UNSEEN,en,TEMPORAL_SCOPE_FAILURE,0
G4_LEXICAL_UNSEEN,en,CONDITION_ORDER_FAILURE,0
G4_LEXICAL_UNSEEN,en,NEGATION_FAILURE,0
G4_LEXICAL_UNSEEN,en,EXCEPTION_SCOPE_FAILURE,0
G4_LEXICAL_UNSEEN,en,COORDINATION_FAILURE,26
G4_LEXICAL_UNSEEN,en,CODE_SWITCH_FAILURE,0
G4_LEXICAL_UNSEEN,en,MORPHOLOGY_FAILURE_KO,0
G4_LEXICAL_UNSEEN,en,PREPOSITION_FAILURE_EN,0
G4_LEXICAL_UNSEEN,en,UNSUPPORTED_SURFACE_FORM,0
G4_LEXICAL_UNSEEN,en,AMBIGUOUS_INPUT,0
G4_LEXICAL_UNSEEN,en,SECURITY_REJECT_EXPECTED,10
